TIME: 40.65 - SYSTEM: Plan 0
2.939149,0.182089,0.570681,0.182089,0.570681,0.182089
2.849469,0.183981,0.629392,0.183981,0.629392,0.183981
1.676102,0.205584,0.485097,0.205584,0.485097,0.205584
-2.347189,0.120688,-0.143015,0.120688,-0.143015,0.120688
-1.545840,0.106731,0.019519,0.106731,0.019519,0.106731
-1.548064,0.165717,0.026798,0.165717,0.026798,0.165717
-1.299456,0.186363,0.065060,0.186363,0.065060,0.186363
-1.404618,0.180438,0.064965,0.180438,0.064965,0.180438
-1.593315,0.096865,0.038053,0.096865,0.038053,0.096865
-1.147186,0.080135,0.034117,0.080135,0.034117,0.080135
-1.410861,0.122410,0.009818,0.122410,0.009818,0.122410
-1.389134,0.138369,0.003472,0.138369,0.003472,0.138369
-1.365292,0.132726,0.004429,0.132726,0.004429,0.132726
-1.667262,0.088850,-0.038107,0.088850,-0.038107,0.088850
1.240645,0.012368,0.389847,0.012368,0.389847,0.012368
0.985493,0.016770,0.505621,0.016770,0.505621,0.016770
0.766587,0.014163,0.519042,0.014163,0.519042,0.014163
0.023077,0.000112,0.418807,0.000112,0.418807,0.000112
-2.559133,0.000452,0.018670,0.000452,0.018670,0.000452
-2.400544,0.006265,0.012608,0.006265,0.012608,0.006265
-2.604639,0.008631,-0.011632,0.008631,-0.011632,0.008631
-2.675395,0.005962,-0.031038,0.005962,-0.031038,0.005962
-2.619933,-0.006472,-0.030412,-0.006472,-0.030412,-0.006472
-3.086112,-0.001159,-0.094591,-0.001159,-0.094591,-0.001159
TIME: 137.5 - SYSTEM: Plan 4
2.707308,0.134733,0.387064,0.134733,0.387064,0.134733
2.941841,0.181892,0.570939,0.181892,0.570939,0.181892
2.852211,0.183808,0.629670,0.183808,0.629670,0.183808
1.678142,0.205536,0.485301,0.205536,0.485301,0.205536
-2.347381,0.120485,-0.143085,0.120485,-0.143085,0.120485
-1.545200,0.106086,0.019611,0.106086,0.019611,0.106086
-1.547048,0.165363,0.026929,0.165363,0.026929,0.165363
-1.298359,0.186231,0.065200,0.186231,0.065200,0.186231
-1.403857,0.180405,0.065066,0.180405,0.065066,0.180405
-1.593414,0.097621,0.038085,0.097621,0.038085,0.097621
-1.149827,0.078786,0.033765,0.078786,0.033765,0.078786
-1.414311,0.121168,0.009178,0.121168,0.009178,0.121168
-1.387493,0.137325,0.003432,0.137325,0.003432,0.137325
-1.367157,0.131741,0.004126,0.131741,0.004126,0.131741
-1.673404,0.088178,-0.039090,0.088178,-0.039090,0.088178
1.238789,0.012299,0.390126,0.012299,0.390126,0.012299
0.983459,0.016801,0.505981,0.016801,0.505981,0.016801
0.764553,0.014256,0.519435,0.014256,0.519435,0.014256
0.021115,0.000229,0.419237,0.000229,0.419237,0.000229
-2.561507,0.000443,0.019104,0.000443,0.019104,0.000443
-2.404088,0.006040,0.012577,0.006040,0.012577,0.006040
-2.608125,0.008474,-0.011670,0.008474,-0.011670,0.008474
-2.678898,0.005861,-0.031077,0.005861,-0.031077,0.005861
-2.623517,-0.006527,-0.030454,-0.006527,-0.030454,-0.006527
-3.089617,-0.001242,-0.094627,-0.001242,-0.094627,-0.001242
TIME: 140.9 - SYSTEM: Plan 5
2.707297,0.134737,0.387063,0.134737,0.387063,0.134737
2.941824,0.181899,0.570936,0.181899,0.570936,0.181899
2.852184,0.183813,0.629665,0.183813,0.629665,0.183813
1.678114,0.205542,0.485295,0.205542,0.485295,0.205542
-2.347380,0.120489,-0.143087,0.120489,-0.143087,0.120489
-1.545246,0.106095,0.019603,0.106095,0.019603,0.106095
-1.547096,0.165370,0.026918,0.165370,0.026918,0.165370
-1.298397,0.186239,0.065190,0.186239,0.065190,0.186239
-1.403871,0.180420,0.065060,0.180420,0.065060,0.180420
-1.593403,0.097901,0.038083,0.097901,0.038083,0.097901
-1.149596,0.078644,0.033796,0.078644,0.033796,0.078644
-1.413947,0.120954,0.009240,0.120954,0.009240,0.120954
-1.387567,0.137021,0.003444,0.137021,0.003444,0.137021
-1.367078,0.131530,0.004140,0.131530,0.004140,0.131530
-1.673122,0.088058,-0.039046,0.088058,-0.039046,0.088058
1.238687,0.012305,0.390088,0.012305,0.390088,0.012305
0.983362,0.016817,0.505930,0.016817,0.505930,0.016817
0.764534,0.014263,0.519389,0.014263,0.519389,0.014263
0.021240,0.000243,0.419215,0.000243,0.419215,0.000243
