TIME: 40.65 - SYSTEM: Plan 0
0.165358,0.029902,0.009349,0.029365,
0.165983,0.033079,0.003576,0.033398,
0.166381,0.036359,0.004273,0.032058,
0.164458,0.039018,-0.038951,0.021636,
0.178395,0.037239,0.390105,0.001197,
0.223906,0.037399,0.505953,0.001913,
0.275487,0.037559,0.519409,0.001329,
0.322234,0.037521,0.419218,-0.001801,
0.342591,0.037424,0.019144,-0.000230,
0.327834,0.035713,0.012585,0.001168,
0.327780,0.035870,-0.011658,0.001863,
0.325552,0.036027,-0.031068,0.001311,
0.322462,0.035994,-0.030457,-0.001696,
0.315908,0.035904,-0.094626,-0.000210,
TIME: 150.5 - SYSTEM: Plan 7
0.025942,0.000321,0.387192,0.031058,
0.074867,0.004381,0.571137,0.048298,
0.135465,0.009539,0.629889,0.053916,
0.190910,0.014669,0.485497,0.048608,
0.205497,0.018559,-0.142965,0.030329,
0.177262,0.017046,0.019708,0.025575,
0.179644,0.020419,0.027083,0.040260,
0.184450,0.024743,0.065375,0.045337,
0.191013,0.029219,0.065239,0.043912,
0.196097,0.032534,0.038179,0.023782,
0.163289,0.027424,0.033867,0.018811,
0.165358,0.029898,0.009345,0.029415,
0.165983,0.033072,0.003573,0.033456,
0.166381,0.036351,0.004282,0.032126,
0.164459,0.039013,-0.038927,0.021691,
0.178397,0.037235,0.390120,0.001199,
0.223910,0.037392,0.505978,0.001914,
0.275492,0.037554,0.519425,0.001332,
0.322238,0.037516,0.419196,-0.001800,
0.342589,0.037425,0.019042,-0.000229,
0.327833,0.035714,0.012589,0.001167,
0.327779,0.035865,-0.011653,0.001861,
0.325551,0.036024,-0.031063,0.001310,
0.322462,0.035995,-0.030452,-0.001695,
0.315909,0.035907,-0.094623,-0.000207,
TIME: 155.9 - SYSTEM: Plan 8
0.025942,0.000321,0.387192,0.031057,
0.074867,0.004380,0.571136,0.048297,
0.135465,0.009540,0.629888,0.053915,
0.190910,0.014669,0.485496,0.048606,
0.205497,0.018559,-0.142966,0.030327,
0.177262,0.017045,0.019708,0.025573,
0.179644,0.020420,0.027082,0.040262,
0.184450,0.024736,0.065375,0.045337,
0.191013,0.029222,0.065238,0.043915,
0.196097,0.032543,0.038179,0.023842,
0.163289,0.027430,0.033866,0.018775,
0.165358,0.029889,0.009346,0.029367,
0.165983,0.033065,0.003576,0.033404,
0.166380,0.036352,0.004270,0.032066,
0.164457,0.039013,-0.038958,0.021640,
0.178393,0.037234,0.390108,0.001198,
0.223905,0.037398,0.505957,0.001913,
0.275486,0.037556,0.519412,0.001330,
0.322235,0.037517,0.419217,-0.001802,
0.342591,0.037423,0.019137,-0.000230,
0.327834,0.035716,0.012585,0.001165,
0.327779,0.035871,-0.011658,0.001861,
0.325551,0.036026,-0.031068,0.001309,
0.322462,0.035994,-0.030457,-0.001697,
0.315908,0.035905,-0.094626,-0.000211,
TIME: 159.4 - SYSTEM: Plan 9
0.025942,0.000321,0.387192,0.031058,
0.074867,0.004379,0.571138,0.048297,
0.135465,0.009538,0.629889,0.053917,
0.190911,0.014669,0.485497,0.048608,
0.205497,0.018559,-0.142966,0.030329,
0.177262,0.017046,0.019709,0.025575,
0.179644,0.020419,0.027083,0.040262,
0.184450,0.024739,0.065376,0.045339,
0.191013,0.029223,0.065239,0.043913,
0.196097,0.032539,0.038180,0.023803,
0.163289,0.027423,0.033863,0.018795,
0.165358,0.029885,0.009338,0.029402,
0.165982,0.033062,0.003573,0.033452,
0.166380,0.036349,0.004275,0.032116,
0.164457,0.039020,-0.038946,0.021681,
0.178394,0.037240,0.390118,0.001199,
0.223907,0.037402,0.505974,0.001916,
0.275490,0.037565,0.519421,0.001334,
0.322238,0.037527,0.419201,-0.001801,
0.342590,0.037430,0.019061,-0.000232,
0.327834,0.035721,0.012586,0.001165,
0.327779,0.035878,-0.011656,0.001865,
0.325551,0.036033,-0.031066,0.001310,
0.322462,0.035999,-0.030455,-0.001698,
0.315909,0.035912,-0.094624,-0.000209,
TIME: 162.9 - SYSTEM: Plan 10
0.025942,0.000321,0.387192,0.031057,
0.074867,0.004381,0.571136,0.048297,
0.135465,0.009541,0.629888,0.053916,
0.190910,0.014672,0.485496,0.048606,
0.205496,0.018561,-0.142966,0.030327,
0.177262,0.017046,0.019708,0.025573,
0.179644,0.020418,0.027082,0.040263,
0.184450,0.024744,0.065374,0.045341,
0.191013,0.029224,0.065238,0.043913,
0.196096,0.032535,0.038179,0.023801,
0.163289,0.027421,0.033869,0.018796,
0.165358,0.029893,0.009349,0.029407,
0.165983,0.033072,0.003575,0.033445,
0.166381,0.036372,0.004281,0.032105,
0.164459,0.039038,-0.038932,0.021665,
0.178396,0.037258,0.390115,0.001199,
0.223908,0.037418,0.505967,0.001914,
0.275489,0.037573,0.519417,0.001332,
0.322237,0.037535,0.419207,-0.001797,
0.342590,0.037439,0.019086,-0.000225,
0.327834,0.035729,0.012585,0.001165,
0.327780,0.035885,-0.011658,0.001864,
